Designator,Mid X,Mid Y,Layer,Rotation
D0,79.2,19.025,Top,180
D1,57.4,51.575,Top,180
D2,38.1,51.575,Top,180
D3,15.3,51.575,Top,180
D4,-4,51.575,Top,180
D5,-22.8,51.575,Top,180
D6,-41.85,51.575,Top,180
D7,-65.15,51.575,Top,180
D08_RH10,-104.775,14.525,Top,180
D10,79.2,-0.025,Top,180
D11,57.15,19.525,Top,180
D12,38.1,22.025,Top,180
D13,19.05,24.525,Top,180
D14,0,29.525,Top,180
D15,-19.05,25.525,Top,180
D16,-38.1,20.025,Top,180
D17,-57.15,14.525,Top,180
D18_RH10,-76.2,14.525,Top,180
D20,79.2,-19.075,Top,180
D21,57.15,0.475,Top,180
D22,38.1,2.975,Top,180
D23,19.05,5.475,Top,180
D24,0,10.475,Top,180
D25,-19.05,6.475,Top,180
D26,-38.1,0.975,Top,180
D27,-57.17,-4.525,Top,180
D28_RH10,-107.95,-4.32,Top,180
D30,76.67,-41.972,Top,172
D31,57.15,-18.575,Top,180
D32,38.1,-16.075,Top,180
D33,19.05,-13.575,Top,180
D34,0,-8.575,Top,180
D35,-19.05,-12.575,Top,180
D36,-38.1,-18.075,Top,180
D37,-68.52,-23.575,Top,180
D38_RH10,-82.89,-4.572,Top,180
D40,74.01,-60.802,Top,172
D41,57.18,-39.522,Top,180
D42,38.1,-35.125,Top,180
D43,19.05,-32.625,Top,180
D44,0,-27.625,Top,180
D45,-19.05,-31.625,Top,180
D46,-38.1,-37.125,Top,180
D47,-71.34,-42.625,Top,180
D48_RH10,-92.6,-23.38,Top,180
D50,71.513395,-79.702,Top,172
D51,53.87,-67.582,Top,172
D52,34.87,-64.932,Top,172
D53,15.31,-69.44,Top,172
D54,0,-46.675,Top,180
D55,-19.05,-50.675,Top,180
D56,-38.1,-56.175,Top,180
D57,-59.53125,-61.675,Top,180
D58,-83.34375,-61.675,Top,180
